gene	len	ct	mu	sigma	region	fisher_real	fisher_sim
PRKCZ	1802	0	186.296730124902	0.0236069799037587	reg2	0.994917371517401	1
C1orf86	1476	0	186.296730124902	0.0236069799037587	reg2	0.998842348918104	1
AL590822.2	543	1	186.296730124902	0.0236069799037587	reg2	1	1
SKI	2187	1	186.296730124902	0.0236069799037587	reg2	0.990217101149768	1
MORN1	1691	0	186.296730124902	0.0236069799037587	reg2	1	1
RER1	701	0	186.296730124902	0.0236069799037587	reg2	0.99997978987943	1
PEX10	1041	0	186.296730124902	0.0236069799037587	reg2	0.97654251861858	1
PLCH2	5098	0	186.296730124902	0.0236069799037587	reg2	0.874351648233253	1
PANK4	2322	1	186.296730124902	0.0236069799037587	reg2	0.369418602855003	1
HES5	501	0	186.296730124902	0.0236069799037587	reg2	1	1
TNFRSF14	883	0	186.296730124902	0.0236069799037587	reg2	0.999995229938704	1
FAM213B	761	0	186.296730124902	0.0236069799037587	reg2	1	1
MMEL1	2340	0	186.296730124902	0.0236069799037587	reg2	0.999998668352177	1
TTC34	1701	1	186.296730124902	0.0236069799037587	reg2	0.975566168693472	1
ACTRT2	1134	0	186.296730124902	0.0236069799037587	reg2	0.528591373993005	1
PRDM16	3858	0	186.296730124902	0.0236069799037587	reg2	0.739318279587341	1
ARHGEF16	2264	2	186.296730124902	0.0236069799037587	reg2	0.971908313658742	1
MEGF6	4792	1	186.296730124902	0.0236069799037587	reg2	0.987758859005694	1
TPRG1L	819	0	186.296730124902	0.0236069799037587	reg2	0.997963238379771	1
WRAP73	1451	0	186.296730124902	0.0236069799037587	reg2	0.99989274996765	1
TP73	1950	0	186.296730124902	0.0236069799037587	reg2	0.999922211520275	1
CCDC27	1971	0	186.296730124902	0.0236069799037587	reg2	0.999999997317626	1
SMIM1	241	0	186.296730124902	0.0236069799037587	reg2	0.899251213559594	1
LRRC47	1752	0	186.296730124902	0.0236069799037587	reg2	1	1
CEP104	2997	0	186.296730124902	0.0236069799037587	reg2	0.608331358362949	1
DFFB	1229	0	186.296730124902	0.0236069799037587	reg2	1	1
C1orf174	732	0	186.296730124902	0.0236069799037587	reg2	0.999984313193147	1
AJAP1	1236	1	121.955120077845	0.0236069799037587	reg7	0.988822251281286	1
NPHP4	4281	0	121.955120077845	0.0236069799037587	reg7	0.70413231561719	1
KCNAB2	2212	0	121.955120077845	0.0236069799037587	reg7	0.893874664764399	1
CHD5	5971	1	121.955120077845	0.0236069799037587	reg7	0.608423345551107	1
RPL22	409	0	121.955120077845	0.0236069799037587	reg7	0.000783800380393179	1
RNF207	1905	1	121.955120077845	0.0236069799037587	reg7	0.999999998669319	1
ICMT	922	0	121.955120077845	0.0236069799037587	reg7	0.999998127727146	1
HES3	561	0	121.955120077845	0.0236069799037587	reg7	1	1
GPR153	1830	1	121.955120077845	0.0236069799037587	reg7	0.99982065274038	1
ACOT7	1409	0	121.955120077845	0.0236069799037587	reg7	1	1
HES2	620	0	121.955120077845	0.0236069799037587	reg7	1	1
ESPN	2571	1	121.955120077845	0.0236069799037587	reg7	0.99999218210285	1
TNFRSF25	1281	2	121.955120077845	0.0236069799037587	reg7	0.996195961140566	1
PLEKHG5	3449	1	121.955120077845	0.0236069799037587	reg7	0.759501698543294	1
NOL9	2109	1	121.955120077845	0.0236069799037587	reg7	0.999121076122318	1
TAS1R1	2526	0	121.955120077845	0.0236069799037587	reg7	0.99928348378022	1
ZBTB48	2067	0	121.955120077845	0.0236069799037587	reg7	0.999345981769813	1
KLHL21	1917	0	121.955120077845	0.0236069799037587	reg7	0.845146753234872	1
PHF13	903	0	121.955120077845	0.0236069799037587	reg7	0.996085066611631	1
THAP3	1077	1	121.955120077845	0.0236069799037587	reg7	1	1
DNAJC11	2103	0	121.955120077845	0.0236069799037587	reg7	0.999749669482824	1
CAMTA1	5261	1	123.81139443237	0.0236069799037587	reg8	0.995757944006857	1
VAMP3	303	0	123.81139443237	0.0236069799037587	reg8	1	1
PER3	3637	0	123.81139443237	0.0236069799037587	reg8	0.999954649877473	1
UTS2	583	0	123.81139443237	0.0236069799037587	reg8	1	1
TNFRSF9	809	0	123.81139443237	0.0236069799037587	reg8	0.998923115266346	1
PARK7	600	2	120.07375764023	0.0236069799037587	reg9	1	1
ERRFI1	1464	0	120.07375764023	0.0236069799037587	reg9	0.229360697454048	1
SLC45A1	2349	0	120.07375764023	0.0236069799037587	reg9	0.996876195715777	1
RERE	4727	1	120.07375764023	0.0236069799037587	reg9	0.988208364279445	1
ENO1	1305	0	120.07375764023	0.0236069799037587	reg9	0.999999990217126	1
CA6	1306	1	143.457225885518	0.0236069799037587	reg10	0.848630334420926	1
SLC2A7	1539	0	143.457225885518	0.0236069799037587	reg10	0.962262321670781	1
SLC2A5	1786	1	143.457225885518	0.0236069799037587	reg10	0.999809692086674	1
GPR157	1008	0	143.457225885518	0.0236069799037587	reg10	1	1
H6PD	2409	0	143.457225885518	0.0236069799037587	reg10	0.999677630039893	1
SPSB1	822	0	143.457225885518	0.0236069799037587	reg10	0.996808032771711	1
SLC25A33	966	1	143.457225885518	0.0236069799037587	reg10	0.999698969452572	1
TMEM201	2020	0	143.457225885518	0.0236069799037587	reg10	0.861898629247237	1
C1orf200	504	0	143.457225885518	0.0236069799037587	reg10	1	1
PIK3CD	3337	0	143.457225885518	0.0236069799037587	reg10	0.991332527072186	1
CLSTN1	2946	1	143.457225885518	0.0236069799037587	reg10	0.999999407084247	1
CTNNBIP1	246	0	143.457225885518	0.0236069799037587	reg10	1	1
LZIC	740	0	143.457225885518	0.0236069799037587	reg10	0.998589871940758	1
NMNAT1	892	0	129.196803187074	0.0236069799037587	reg11	1	1
RBP7	405	0	129.196803187074	0.0236069799037587	reg11	1	1
UBE4B	4013	2	129.196803187074	0.0236069799037587	reg11	0.945287231980281	1
KIF1B	7000	0	129.196803187074	0.0236069799037587	reg11	0.989771396953452	1
PGD	1452	0	129.196803187074	0.0236069799037587	reg11	1	1
APITD1-CORT	636	0	129.196803187074	0.0236069799037587	reg11	1	1
APITD1	636	0	129.196803187074	0.0236069799037587	reg11	1	1
CORT	468	0	129.196803187074	0.0236069799037587	reg11	1	1
DFFA	1020	0	129.196803187074	0.0236069799037587	reg11	1	1
PEX14	1145	0	129.196803187074	0.0236069799037587	reg11	0.854721301223737	1
CASZ1	5525	0	129.196803187074	0.0236069799037587	reg11	0.841610361319429	1
C1orf127	2503	0	126.928795504057	0.0236069799037587	reg12	0.991524946221966	1
TARDBP	1424	0	126.928795504057	0.0236069799037587	reg12	0.999146502493447	1
MASP2	2075	0	126.928795504057	0.0236069799037587	reg12	0.988788416671462	1
SRM	1164	0	126.928795504057	0.0236069799037587	reg12	1	1
EXOSC10	2819	0	126.928795504057	0.0236069799037587	reg12	0.978293696990311	1
MTOR	7650	1	126.928795504057	0.0236069799037587	reg12	0.986078887628716	1
ANGPTL7	1041	0	126.928795504057	0.0236069799037587	reg12	0.999999655827709	1
UBIAD1	1035	0	126.928795504057	0.0236069799037587	reg12	0.997959517168666	1
PTCHD2	4217	3	126.928795504057	0.0236069799037587	reg12	0.0405431485545501	1
FBXO2	964	0	126.928795504057	0.0236069799037587	reg12	1	1
FBXO44	800	1	126.928795504057	0.0236069799037587	reg12	0.998572054211737	1
FBXO6	882	0	126.928795504057	0.0236069799037587	reg12	1	1
MAD2L2	767	0	126.928795504057	0.0236069799037587	reg12	0.123843995992704	1
DRAXIN	1050	0	126.928795504057	0.0236069799037587	reg12	0.999622181783096	1
AGTRAP	707	0	126.928795504057	0.0236069799037587	reg12	1	1
C1orf167	4444	0	126.928795504057	0.0236069799037587	reg12	0.999123830776442	1
MTHFR	2150	0	126.928795504057	0.0236069799037587	reg12	1	1
CLCN6	2966	0	126.928795504057	0.0236069799037587	reg12	0.999999999999823	1
NPPA	456	0	126.928795504057	0.0236069799037587	reg12	1	1
NPPB	405	0	126.928795504057	0.0236069799037587	reg12	0.966783933201412	1
KIAA2013	2022	2	126.928795504057	0.0236069799037587	reg12	0.79169117894334	1
PLOD1	2429	1	147.561958630108	0.0236069799037587	reg13	0.999999999830552	1
MFN2	2274	0	147.561958630108	0.0236069799037587	reg13	0.80740590041561	1
MIIP	1174	0	147.561958630108	0.0236069799037587	reg13	0.997100513638737	1
TNFRSF8	1788	1	147.561958630108	0.0236069799037587	reg13	0.994971022210083	1
TNFRSF1B	1397	0	147.561958630108	0.0236069799037587	reg13	0.998840829803728	1
VPS13D	13265	4	147.561958630108	0.0236069799037587	reg13	0.999303829455171	1
DHRS3	909	0	147.561958630108	0.0236069799037587	reg13	1	1
AADACL4	1224	0	147.561958630108	0.0236069799037587	reg13	0.999999579531708	1
AADACL3	1057	0	147.561958630108	0.0236069799037587	reg13	0.992201138043528	1
C1orf158	585	1	147.561958630108	0.0236069799037587	reg13	0.996475326732533	1
PRAMEF12	1452	1	147.561958630108	0.0236069799037587	reg13	0.999201779598707	1
PRAMEF1	1556	0	147.561958630108	0.0236069799037587	reg13	0.00277287723632491	1
PRAMEF11	1311	1	147.561958630108	0.0236069799037587	reg13	0.993531081621263	1
HNRNPCL1	882	2	147.561958630108	0.0236069799037587	reg13	0.477488861396458	1
PRAMEF2	1425	1	147.561958630108	0.0236069799037587	reg13	0.957553997250275	1
PRAMEF4	1437	1	147.561958630108	0.0236069799037587	reg13	0.114489530777742	1
PRAMEF10	1425	1	147.561958630108	0.0236069799037587	reg13	1	1
PRAMEF7	1425	0	147.561958630108	0.0236069799037587	reg13	0.977936110665397	1
PRAMEF6	2862	1	147.561958630108	0.0236069799037587	reg13	0.999996167720325	1
PRAMEF22	1446	0	147.561958630108	0.0236069799037587	reg13	1	1
PRAMEF3	1446	0	147.561958630108	0.0236069799037587	reg13	1	1
PRAMEF5	1431	0	147.561958630108	0.0236069799037587	reg13	1	1
PRAMEF8	1425	0	147.561958630108	0.0236069799037587	reg13	1	1
PRAMEF9	1437	0	147.561958630108	0.0236069799037587	reg13	1	1
PRAMEF13	1425	0	147.561958630108	0.0236069799037587	reg13	1	1
PRAMEF18	1440	0	147.561958630108	0.0236069799037587	reg13	1	1
PRAMEF16	1425	0	147.561958630108	0.0236069799037587	reg13	1	1
PRAMEF21	1428	0	110.932850009998	0.0236069799037587	reg15	1	1
PRAMEF15	1437	0	110.932850009998	0.0236069799037587	reg15	1	1
PRAMEF14	1425	0	110.932850009998	0.0236069799037587	reg15	1	1
PRAMEF19	1440	0	110.932850009998	0.0236069799037587	reg15	1	1
PRAMEF17	1425	1	110.932850009998	0.0236069799037587	reg15	0.99630928837704	1
PRAMEF20	1428	0	110.932850009998	0.0236069799037587	reg15	1	1
LRRC38	885	0	110.932850009998	0.0236069799037587	reg15	0.999999869221889	1
PDPN	773	0	110.932850009998	0.0236069799037587	reg15	0.887365440530737	1
PRDM2	5219	0	110.932850009998	0.0236069799037587	reg15	0.999969222477414	1
KAZN	2580	0	126.977106343659	0.0236069799037587	reg16	0.850812054172634	1
C1orf195	499	0	126.977106343659	0.0236069799037587	reg16	1	1
TMEM51	762	0	126.977106343659	0.0236069799037587	reg16	0.999994213948304	1
FHAD1	4759	0	126.977106343659	0.0236069799037587	reg16	0.996583826241294	1
EFHD2	835	0	126.977106343659	0.0236069799037587	reg16	1	1
CTRC	807	0	126.977106343659	0.0236069799037587	reg16	1	1
CELA2A	810	0	126.977106343659	0.0236069799037587	reg16	0.883141674588241	1
CELA2B	915	0	126.977106343659	0.0236069799037587	reg16	0.999998420332151	1
CASP9	1359	0	126.977106343659	0.0236069799037587	reg16	0.999633106260586	1
DNAJC16	2378	1	126.977106343659	0.0236069799037587	reg16	0.999972758528696	1
AGMAT	1059	0	126.977106343659	0.0236069799037587	reg16	1	1
DDI2	1200	0	126.977106343659	0.0236069799037587	reg16	0.405199686640153	1
RSC1A1	1854	1	126.977106343659	0.0236069799037587	reg16	0.956793073495983	1
PLEKHM2	3060	0	126.977106343659	0.0236069799037587	reg16	0.849032734211451	1
SLC25A34	915	1	126.977106343659	0.0236069799037587	reg16	1	1
FBLIM1	1357	1	126.977106343659	0.0236069799037587	reg16	0.999999951302238	1
SPEN	11276	0	126.977106343659	0.0236069799037587	reg16	0.992641739006162	1
ZBTB17	2803	0	126.977106343659	0.0236069799037587	reg16	0.93527186309007	1
C1orf64	510	0	126.977106343659	0.0236069799037587	reg16	0.960918860227433	1
HSPB7	872	0	126.977106343659	0.0236069799037587	reg16	0.999078135204759	1
CLCNKA	2064	0	126.977106343659	0.0236069799037587	reg16	0.99985818314826	1
CLCNKB	2260	1	126.977106343659	0.0236069799037587	reg16	0.997098334348164	1
FAM131C	843	0	126.977106343659	0.0236069799037587	reg16	1	1
EPHA2	2931	0	126.977106343659	0.0236069799037587	reg16	0.820512252030268	1
ARHGEF19	2616	0	126.977106343659	0.0236069799037587	reg16	0.999930928142519	1
C1orf134	252	0	126.977106343659	0.0236069799037587	reg16	1	1
RSG1	777	0	126.977106343659	0.0236069799037587	reg16	0.999994920916308	1
FBXO42	2172	0	126.977106343659	0.0236069799037587	reg16	0.993303447731087	1
SZRD1	587	0	126.977106343659	0.0236069799037587	reg16	1	1
SPATA21	2061	1	126.977106343659	0.0236069799037587	reg16	0.423062792372581	1
NECAP2	898	0	126.977106343659	0.0236069799037587	reg16	0.999998180886682	1
AL355149.2	510	0	126.977106343659	0.0236069799037587	reg16	0.987252153638048	1
NBPF1	3420	1	126.977106343659	0.0236069799037587	reg16	0.372493509467715	1
AL137798.1	510	0	126.977106343659	0.0236069799037587	reg16	1	1
AL021920.2	510	1	131.049422756826	0.0236069799037587	reg19	1	1
CROCC	6054	2	131.049422756826	0.0236069799037587	reg19	0.959468501030942	1
MFAP2	552	0	131.049422756826	0.0236069799037587	reg19	1	1
ATP13A2	3779	0	131.049422756826	0.0236069799037587	reg19	0.99995344672437	1
SDHB	843	0	131.049422756826	0.0236069799037587	reg19	0.99999531694229	1
PADI2	2002	2	131.049422756826	0.0236069799037587	reg19	0.351868727747028	1
PADI1	1992	1	131.049422756826	0.0236069799037587	reg19	0.977047706263074	1
PADI3	1995	1	131.049422756826	0.0236069799037587	reg19	0.730363326151609	1
PADI4	2036	0	131.049422756826	0.0236069799037587	reg19	0.966634336239933	1
RCC2	1569	0	131.049422756826	0.0236069799037587	reg19	0.999999978101271	1
ARHGEF10L	4066	0	131.049422756826	0.0236069799037587	reg19	0.999536638514235	1
ACTL8	1101	0	131.049422756826	0.0236069799037587	reg19	0.892893917769678	1
IGSF21	1444	0	131.049422756826	0.0236069799037587	reg19	0.666710785382084	1
KLHDC7A	2334	1	131.049422756826	0.0236069799037587	reg19	0.99909817432637	1
PAX7	1679	0	112.626226067144	0.0236069799037587	reg20	0.999999993799241	1
TAS1R2	2520	0	112.626226067144	0.0236069799037587	reg20	0.379429700439877	1
ALDH4A1	1705	0	112.626226067144	0.0236069799037587	reg20	1	1
IFFO2	1554	0	112.626226067144	0.0236069799037587	reg20	0.999969865772612	1
UBR4	16031	4	112.626226067144	0.0236069799037587	reg20	0.998722250657409	1
EMC1	2990	0	112.626226067144	0.0236069799037587	reg20	0.996659428113699	1
MRTO4	720	0	112.626226067144	0.0236069799037587	reg20	1	1
AKR7A3	996	0	112.626226067144	0.0236069799037587	reg20	0.801897829511932	1
AKR7A2	1080	1	112.626226067144	0.0236069799037587	reg20	0.994628922259666	1
PQLC2	927	1	112.626226067144	0.0236069799037587	reg20	1	1
CAPZB	1102	0	112.626226067144	0.0236069799037587	reg20	1	1
MINOS1	237	0	112.626226067144	0.0236069799037587	reg20	1	1
NBL1	735	0	112.626226067144	0.0236069799037587	reg20	0.999991309361801	1
MINOS1-NBL1	546	0	112.626226067144	0.0236069799037587	reg20	0.999952054780964	1
HTR6	1323	0	112.626226067144	0.0236069799037587	reg20	0.983324543847557	1
TMCO4	1991	1	152.994144706586	0.0236069799037587	reg21	0.999862768299263	1
RNF186	684	0	152.994144706586	0.0236069799037587	reg21	1	1
OTUD3	1197	0	152.994144706586	0.0236069799037587	reg21	0.999999912261605	1
PLA2G2E	429	0	152.994144706586	0.0236069799037587	reg21	0.982541132527264	1
PLA2G2A	435	0	152.994144706586	0.0236069799037587	reg21	0.999906686974817	1
PLA2G5	417	0	152.994144706586	0.0236069799037587	reg21	1	1
PLA2G2D	438	0	152.994144706586	0.0236069799037587	reg21	0.9999096934585	1
PLA2G2F	636	0	152.994144706586	0.0236069799037587	reg21	0.990387429615283	1
PLA2G2C	499	0	152.994144706586	0.0236069799037587	reg21	0.889601822019161	1
UBXN10	843	0	152.994144706586	0.0236069799037587	reg21	0.998964351035349	1
VWA5B1	3899	3	152.994144706586	0.0236069799037587	reg21	0.830152796698284	1
CAMK2N1	237	0	152.994144706586	0.0236069799037587	reg21	0.98600544664848	1
MUL1	1059	0	152.994144706586	0.0236069799037587	reg21	0.999999724916945	1
FAM43B	990	0	152.994144706586	0.0236069799037587	reg21	1	1
CDA	441	0	152.994144706586	0.0236069799037587	reg21	0.999912596121754	1
PINK1	1746	0	152.994144706586	0.0236069799037587	reg21	0.999648439943298	1
DDOST	1371	0	152.994144706586	0.0236069799037587	reg21	0.999999978405389	1
KIF17	3090	0	126.802779934191	0.0236069799037587	reg22	0.589476910960861	1
SH2D5	1326	1	126.802779934191	0.0236069799037587	reg22	0.999941607300827	1
HP1BP3	1714	0	126.802779934191	0.0236069799037587	reg22	0.997074081188759	1
EIF4G3	5204	0	126.802779934191	0.0236069799037587	reg22	0.999999557272685	1
ECE1	2469	0	126.802779934191	0.0236069799037587	reg22	0.99998183632442	1
NBPF3	1977	1	126.802779934191	0.0236069799037587	reg22	0.999999999743957	1
ALPL	1575	0	126.802779934191	0.0236069799037587	reg22	0.999986545467663	1
RAP1GAP	2516	0	126.802779934191	0.0236069799037587	reg22	0.995056104394211	1
USP48	3259	0	121.37216485197	0.0236069799037587	reg23	0.993280803164231	1
LDLRAD2	819	0	121.37216485197	0.0236069799037587	reg23	0.999995500271524	1
HSPG2	13727	1	121.37216485197	0.0236069799037587	reg23	0.999927987975887	1
CELA3B	943	0	121.37216485197	0.0236069799037587	reg23	0.954023428161279	1
CELA3A	826	0	121.37216485197	0.0236069799037587	reg23	0.905476272782238	1
CDC42	842	0	121.37216485197	0.0236069799037587	reg23	0.994394422648058	1
WNT4	1271	0	121.37216485197	0.0236069799037587	reg23	1	1
ZBTB40	3720	0	121.37216485197	0.0236069799037587	reg23	0.999919728885915	1
EPHA8	3191	0	121.37216485197	0.0236069799037587	reg23	0.811582692443488	1
C1QA	738	0	121.37216485197	0.0236069799037587	reg23	1	1
C1QC	738	0	121.37216485197	0.0236069799037587	reg23	0.99999107871994	1
C1QB	762	0	121.37216485197	0.0236069799037587	reg23	0.99714927975968	1
EPHB2	3248	0	138.09754199662	0.0236069799037587	reg24	0.980083478331939	1
LACTBL1	1641	0	138.09754199662	0.0236069799037587	reg24	0.638094255256202	1
KDM1A	2685	0	138.09754199662	0.0236069799037587	reg24	0.999691764499449	1
LUZP1	3240	0	138.09754199662	0.0236069799037587	reg24	0.999466112200777	1
HTR1D	1134	0	138.09754199662	0.0236069799037587	reg24	0.15621141327886	1
HNRNPR	1911	0	138.09754199662	0.0236069799037587	reg24	0.894897375413406	1
ZNF436	1413	0	138.09754199662	0.0236069799037587	reg24	0.999527418742091	1
C1orf213	500	0	138.09754199662	0.0236069799037587	reg24	1	1
TCEA3	1087	0	138.09754199662	0.0236069799037587	reg24	0.999465687423097	1
ASAP3	2735	0	138.09754199662	0.0236069799037587	reg24	0.998545951665268	1
E2F2	1314	0	138.09754199662	0.0236069799037587	reg24	0.999945032353444	1
ID3	360	0	138.09754199662	0.0236069799037587	reg24	0.970781728093778	1
MDS2	423	0	138.09754199662	0.0236069799037587	reg24	0.983828280416055	1
RPL11	567	0	131.576240524031	0.0236069799037587	reg25	0.999975368766697	1
TCEB3	2397	1	131.576240524031	0.0236069799037587	reg25	0.999999892892394	1
PITHD1	636	1	131.576240524031	0.0236069799037587	reg25	0.978873859566304	1
LYPLA2	768	0	131.576240524031	0.0236069799037587	reg25	1	1
GALE	1047	1	131.576240524031	0.0236069799037587	reg25	0.889374964904361	1
HMGCL	978	1	131.576240524031	0.0236069799037587	reg25	0.948415399945393	1
FUCA1	1401	2	131.576240524031	0.0236069799037587	reg25	0.999640539473769	1
CNR2	1083	0	131.576240524031	0.0236069799037587	reg25	0.999999758601349	1
PNRC2	591	0	131.576240524031	0.0236069799037587	reg25	0.992753316821551	1
SRSF10	881	0	131.576240524031	0.0236069799037587	reg25	0.989783360579796	1
MYOM3	4536	0	131.576240524031	0.0236069799037587	reg25	0.992051745718466	1
IL22RA1	1725	1	131.576240524031	0.0236069799037587	reg25	1	1
IFNLR1	1695	1	131.576240524031	0.0236069799037587	reg25	0.956309687445303	1
GRHL3	2028	0	131.576240524031	0.0236069799037587	reg25	0.985177806295004	1
STPG1	1108	0	131.576240524031	0.0236069799037587	reg25	0.996885031110285	1
NIPAL3	1451	0	131.576240524031	0.0236069799037587	reg25	0.999441827895646	1
RCAN3	726	0	131.576240524031	0.0236069799037587	reg25	1	1
NCMAP	309	0	131.576240524031	0.0236069799037587	reg25	1	1
SRRM1	2795	0	131.576240524031	0.0236069799037587	reg25	0.977225212989067	1
CLIC4	762	0	173.590376131772	0.0236069799037587	reg26	0.996906637140346	1
RUNX3	1309	0	173.590376131772	0.0236069799037587	reg26	0.999999792978504	1
SYF2	732	0	173.590376131772	0.0236069799037587	reg26	1	1
C1orf63	935	0	173.590376131772	0.0236069799037587	reg26	0.8940716340879	1
RHD	1636	0	173.590376131772	0.0236069799037587	reg26	0.997623650069022	1
TMEM50A	474	0	173.590376131772	0.0236069799037587	reg26	0.999855692653961	1
RHCE	1445	0	173.590376131772	0.0236069799037587	reg26	1	1
TMEM57	1995	0	173.590376131772	0.0236069799037587	reg26	0.99870954426893	1
LDLRAP1	927	0	173.590376131772	0.0236069799037587	reg26	1	1
MAN1C1	1893	1	121.903507602641	0.0236069799037587	reg27	1	1
SEPN1	1784	0	121.903507602641	0.0236069799037587	reg27	0.98645014382759	1
MTFR1L	879	0	121.903507602641	0.0236069799037587	reg27	0.998206748713583	1
AUNIP	1145	0	121.903507602641	0.0236069799037587	reg27	0.942954835060133	1
PAQR7	1041	0	121.903507602641	0.0236069799037587	reg27	1	1
STMN1	597	0	121.903507602641	0.0236069799037587	reg27	0.583759106699926	1
PAFAH2	1194	0	121.903507602641	0.0236069799037587	reg27	0.999999915415152	1
EXTL1	2031	0	121.903507602641	0.0236069799037587	reg27	0.832400605261554	1
SLC30A2	1119	1	121.903507602641	0.0236069799037587	reg27	1	1
TRIM63	1062	0	121.903507602641	0.0236069799037587	reg27	1	1
PDIK1L	1026	0	121.903507602641	0.0236069799037587	reg27	0.999687918295984	1
FAM110D	816	0	121.903507602641	0.0236069799037587	reg27	0.999997845228393	1
ZNF593	499	0	121.903507602641	0.0236069799037587	reg27	1	1
CNKSR1	2163	1	121.903507602641	0.0236069799037587	reg27	0.99989138152567	1
CATSPER4	1503	0	121.903507602641	0.0236069799037587	reg27	0.205454343084197	1
CEP85	2289	1	121.903507602641	0.0236069799037587	reg27	0.999967256083067	1
SH3BGRL3	333	0	121.903507602641	0.0236069799037587	reg27	0.999707192192942	1
UBXN11	1699	0	121.903507602641	0.0236069799037587	reg27	0.998554476811067	1
CD52	186	0	121.903507602641	0.0236069799037587	reg27	1	1
AIM1L	3762	0	121.903507602641	0.0236069799037587	reg27	0.328459978255726	1
ZNF683	1612	0	121.903507602641	0.0236069799037587	reg27	1	1
LIN28A	630	0	121.903507602641	0.0236069799037587	reg27	0.999987780564043	1
